0,"[229, 230, 458, 805, 830, 901, 976, 1302, 1303, 1567, 1668, 1757, 1872, 1956, 2028, 2102, 2158, 2166, 2182, 2226, 2287, 2310, 2329, 2330, 2346, 2364, 2461, 2470, 2499, 2502, 2511, 2558, 2594, 2596, 2598, 2602, 2613, 2652, 2684, 2789, 2798, 2801, 2918, 3167, 3170, 3320, 3564, 3711, 3753, 3766, 3768, 3788, 3908, 4055, 4068, 4069, 4074, 4414, 4582, 4594, 4595, 4600, 4604, 4606, 4659, 4939, 5037, 5165, 5172, 5245, 5331, 5374, 5410, 5472, 5496, 5524, 5529, 5555, 5758, 5829, 6019, 6023, 6026, 6027, 6032, 6034, 6036, 6037, 6120, 6136, 6151, 6260, 6304, 6305, 6306, 6371, 6391, 6414, 6423, 6531, 6558, 6685, 6725, 6812, 6884, 6914, 6969, 7019, 7024, 7062, 7152, 7167, 7248, 7262, 7447, 7451, 7523, 7566, 7695, 7722, 7738, 7822, 7917, 8099, 8103, 8261, 8313, 8342, 8467, 8499, 8558, 8715, 8781, 8796, 8853, 8898, 8946, 8950, 9017, 9021, 9086, 9130, 9134, 9155, 9163, 9527, 9532, 9538, 9724, 9769, 9774, 9775, 9777, 9778, 9779, 9780, 9781, 9783, 9810, 9815, 9816, 9817, 9833, 10026, 10041, 10193, 10204, 10330, 10382, 10439, 10442, 10448, 10539, 10557, 10668, 10706, 10746, 10747, 11046, 11251, 11557, 11583, 11613, 11617, 11847, 11849, 11850, 11906, 11943, 12117, 12149, 12151, 12293, 12340, 12356, 12366, 12368, 12536, 12581, 12589, 12650, 12665, 12680, 12689, 12743, 12761, 12809, 12987, 13021, 13025, 13104, 13134, 13140, 13145, 13202, 13218, 13274, 13291, 13306, 13423, 13683, 13821, 13855, 13886, 13963, 14000, 14001, 14002, 14257, 14298, 14303, 14439, 14461, 14462, 14468, 14554, 14599, 14650, 14654, 14655, 14665, 14671]"
1,"[96, 168, 423, 467, 566, 591, 706, 712, 726, 749, 767, 821, 837, 844, 912, 961, 1189, 1386, 1443, 1486, 1506, 1614, 1624, 1653, 1736, 1840, 1864, 1883, 1908, 2044, 2130, 2137, 2247, 2442, 2458, 2539, 2546, 2636, 2697, 2771, 2802, 2916, 2921, 2925, 2926, 2927, 2928, 2929, 2930, 2931, 2932, 2933, 3033, 3169, 3251, 3415, 3625, 3662, 3665, 3666, 3692, 3817, 3837, 3845, 3882, 3983, 4027, 4061, 4091, 4092, 4095, 4137, 4450, 4454, 4455, 4464, 4566, 4567, 4631, 4703, 4710, 4751, 4759, 4788, 4811, 4852, 4857, 4928, 4954, 5035, 5039, 5131, 5182, 5199, 5215, 5216, 5217, 5218, 5274, 5299, 5305, 5315, 5316, 5317, 5396, 5498, 5509, 5672, 5684, 5692, 5759, 5785, 5918, 5999, 6073, 6096, 6122, 6199, 6238, 6240, 6386, 6543, 6594, 6668, 6705, 6725, 6729, 6786, 6898, 7125, 7139, 7141, 7214, 7229, 7271, 7284, 7292, 7328, 7359, 7366, 7367, 7368, 7370, 7372, 7373, 7406, 7497, 7681, 7682, 7732, 7771, 7902, 7929, 7930, 7932, 7960, 8149, 8328, 8331, 8684, 8721, 8806, 8865, 8891, 9021, 9062, 9063, 9064, 9225, 9379, 9539, 9541, 9698, 9836, 9841, 9978, 10121, 10127, 10156, 10167, 10168, 10169, 10170, 10173, 10211, 10220, 10542, 10563, 10568, 10722, 10884, 10898, 11028, 11296, 11301, 11339, 11364, 11383, 11513, 11528, 11589, 11732, 11756, 11761, 11901, 11982, 12034, 12071, 12072, 12074, 12075, 12308, 12320, 12389, 12410, 12449, 12455, 12524, 12561, 12566, 12573, 12898, 13067, 13158, 13175, 13267, 13268, 13269, 13348, 13392, 13402, 13681, 13783, 13824, 13861, 13872, 13887, 13896, 13902, 14003, 14037, 14149, 14158, 14252, 14258, 14475, 14488, 14688]"
2,"[338, 863, 968, 1187, 1202, 1211, 1295, 1365, 1460, 1636, 1854, 1962, 2176, 2228, 2420, 2422, 2440, 2509, 2510, 2994, 3007, 3067, 3088, 3102, 3132, 3142, 3146, 3154, 3179, 3291, 3350, 3352, 3364, 3375, 3377, 3401, 3423, 3549, 3550, 3551, 3764, 3821, 3863, 4259, 4260, 4261, 4262, 4276, 4286, 4375, 4435, 4673, 4772, 4826, 4898, 4934, 5206, 5295, 5552, 5692, 6050, 6198, 6307, 6536, 6669, 6670, 6690, 6743, 6751, 6813, 6820, 6863, 7005, 7053, 7068, 7111, 7193, 7207, 7268, 7269, 7303, 7649, 7817, 7861, 7862, 7863, 7865, 8033, 8034, 8035, 8036, 8070, 8073, 8108, 8333, 8341, 8497, 8513, 8556, 8632, 8704, 8760, 8761, 8774, 8935, 8944, 8952, 8978, 9021, 9090, 9284, 9290, 9350, 9351, 9440, 9441, 9442, 9443, 9444, 9445, 9528, 9611, 9739, 9805, 9827, 9891, 10161, 10189, 10213, 10309, 10460, 10736, 10737, 10738, 10769, 10862, 10972, 10973, 11016, 11074, 11380, 11782, 11805, 11869, 11894, 12018, 12146, 12335, 12424, 12554, 12727, 12731, 12742, 12760, 12781, 12799, 12837, 12867, 12949, 12966, 12981, 12991, 13164, 13214, 13219, 13401, 13458, 13460, 13467, 13671, 13734, 13813, 13856, 14024, 14062, 14065, 14069, 14070, 14190, 14211, 14223, 14511, 14534, 14546, 14623, 14673, 14674, 14675, 14677, 14678]"
3,"[77, 91, 275, 279, 321, 339, 549, 594, 1291, 1305, 1330, 1410, 1411, 1480, 1605, 1706, 1713, 1738, 1817, 1853, 1866, 1934, 2040, 2082, 2147, 2219, 2272, 2361, 2482, 2507, 2508, 2558, 2788, 2872, 2960, 2976, 3081, 3124, 3151, 3156, 3170, 3179, 3278, 3279, 3318, 3410, 3424, 3513, 3694, 3695, 3784, 3830, 4000, 4156, 4243, 4244, 4245, 4247, 4249, 4250, 4252, 4253, 4254, 4255, 4256, 4332, 4341, 4464, 4489, 4490, 4689, 4839, 4902, 4917, 5009, 5075, 5151, 5199, 5229, 5332, 5441, 5553, 5618, 5719, 5826, 5902, 5973, 5974, 5975, 6008, 6021, 6055, 6056, 6080, 6143, 6151, 6319, 6469, 6536, 6551, 6596, 6660, 6678, 6692, 6725, 6745, 6791, 6839, 7296, 7298, 7575, 7689, 7697, 8151, 8276, 8277, 8278, 8283, 8285, 8323, 8454, 8499, 8508, 8641, 8771, 8787, 8834, 8967, 9024, 9068, 9114, 9229, 9240, 9243, 9275, 9299, 9323, 9651, 9811, 9865, 9895, 10025, 10073, 10184, 10267, 10405, 10479, 10480, 10482, 10483, 10494, 10756, 10868, 10902, 11026, 11416, 11423, 11516, 11588, 11656, 11657, 11858, 11884, 11898, 12272, 12465, 12487, 12524, 12541, 12606, 12611, 12645, 12691, 12696, 12741, 12826, 13062, 13081, 13083, 13100, 13537, 13658, 13780, 13861, 14086, 14141, 14255, 14287, 14291, 14292, 14311, 14353, 14354, 14382, 14389, 14470, 14484, 14586, 14625]"
4,"[94, 95, 185, 193, 239, 241, 244, 265, 274, 345, 513, 525, 559, 635, 699, 730, 756, 759, 817, 848, 931, 1197, 1461, 1583, 1586, 1589, 1590, 1641, 1748, 1836, 2070, 2382, 2520, 2528, 2728, 3083, 3222, 3388, 3532, 3617, 3779, 3791, 3889, 3890, 3929, 4225, 4227, 4231, 4232, 4234, 4241, 4545, 4553, 4577, 4929, 5720, 5789, 5790, 5923, 5925, 6256, 6723, 6824, 6989, 7136, 7287, 7535, 7648, 8061, 8065, 8081, 8288, 8289, 8437, 8633, 8634, 8641, 8650, 8674, 8686, 8725, 9180, 9190, 9245, 9356, 9357, 9432, 9435, 9447, 9469, 9846, 9933, 9942, 9946, 9948, 9953, 10036, 10185, 10493, 10904, 11130, 11131, 11136, 11302, 11309, 11483, 11699, 11702, 12221, 12633, 12694, 12904, 13146, 13722, 13815, 14409, 14420]"
5,"[67, 68, 75, 84, 247, 265, 327, 365, 500, 532, 564, 609, 637, 641, 681, 697, 957, 1262, 1270, 1279, 1484, 1736, 1744, 1756, 1791, 2044, 2058, 2089, 2150, 2176, 2291, 2353, 2375, 2526, 2527, 2539, 2718, 2745, 2873, 2906, 3017, 3031, 3032, 3123, 3143, 3170, 3184, 3199, 3315, 3590, 3667, 4315, 4413, 4564, 4788, 4808, 4824, 4826, 4958, 4994, 4996, 4998, 5004, 5005, 5010, 5158, 5215, 5432, 5570, 5589, 5671, 5692, 5695, 5723, 5835, 5841, 5851, 5856, 5893, 5894, 5898, 5910, 5913, 5932, 5951, 5952, 5953, 6068, 6070, 6088, 6235, 6592, 6611, 6622, 6658, 6876, 6931, 6979, 7106, 7120, 7122, 7181, 7229, 7314, 7503, 7679, 7696, 7890, 8001, 8002, 8100, 8109, 8170, 8245, 8548, 8566, 8721, 8825, 9018, 9021, 9061, 9100, 9281, 9380, 9697, 9847, 9980, 9987, 10270, 10319, 10373, 10398, 10778, 10842, 10879, 11271, 11272, 11276, 11520, 11690, 11693, 11838, 11839, 11894, 11936, 12189, 12190, 12285, 12454, 12554, 12564, 12593, 12606, 12614, 12618, 12628, 12660, 12698, 12758, 12762, 12821, 12844, 12848, 12908, 12943, 12945, 12948, 13035, 13039, 13076, 13077, 13154, 13159, 13180, 13310, 13353, 13421, 13460, 13479, 13490, 13865, 13881, 13941, 14014, 14134, 14146, 14165, 14168, 14214, 14218, 14223, 14294, 14421, 14548]"
6,"[228, 304, 446, 758, 840, 990, 1050, 1052, 1165, 1256, 1572, 1786, 1814, 1849, 2090, 2130, 2357, 2651, 2655, 2656, 2660, 2664, 3075, 3101, 3394, 3454, 3677, 3718, 3720, 3724, 3726, 3739, 3883, 4185, 4186, 4190, 4333, 4658, 4686, 4687, 4781, 4794, 5107, 5517, 5858, 6015, 6090, 6241, 6387, 6427, 6581, 6650, 6671, 6676, 6725, 7097, 7647, 7956, 7957, 7958, 7959, 8135, 8148, 8433, 8492, 8510, 8597, 8647, 8714, 8738, 9022, 9039, 9309, 9310, 9365, 9374, 9413, 9663, 9831, 9834, 9856, 9857, 9858, 9872, 9876, 10047, 10291, 10401, 10694, 10719, 10960, 10999, 11194, 11283, 11362, 11372, 11465, 11536, 11537, 11830, 11843, 11854, 12260, 12261, 12393, 12438, 12540, 12570, 12720, 12766, 13003, 13023, 13236, 13333, 13347, 13666, 13720, 13814, 13882, 13971, 14185, 14226, 14321, 14342, 14352, 14368, 14374, 14379, 14418, 14449, 14640, 14641, 14642, 14643, 14644, 14662]"
7,"[117, 136, 167, 187, 211, 226, 229, 235, 271, 294, 299, 324, 336, 343, 391, 393, 414, 415, 436, 444, 450, 454, 456, 457, 469, 555, 572, 588, 603, 619, 623, 634, 647, 680, 695, 711, 717, 721, 727, 729, 737, 738, 745, 802, 839, 886, 914, 919, 933, 970, 1289, 1375, 1434, 1498, 1573, 1612, 1620, 1647, 1688, 1727, 1844, 1879, 1944, 1983, 2006, 2021, 2126, 2146, 2185, 2190, 2216, 2257, 2258, 2313, 2355, 2453, 2491, 2498, 2603, 2638, 2648, 2658, 2659, 2684, 2763, 2810, 3047, 3112, 3137, 3180, 3222, 3238, 3306, 3342, 3408, 3409, 3420, 3521, 3522, 3523, 3524, 3568, 3574, 3575, 3734, 3735, 3814, 3822, 3856, 4028, 4040, 4098, 4100, 4101, 4103, 4105, 4108, 4109, 4205, 4415, 4429, 4442, 4486, 4504, 4524, 4751, 4752, 4874, 4899, 5023, 5390, 5404, 5424, 5437, 5454, 5482, 5503, 5511, 5553, 5557, 5562, 5582, 5594, 5662, 5692, 6074, 6076, 6131, 6179, 6180, 6233, 6253, 6254, 6378, 6382, 6401, 6469, 6518, 6527, 6531, 6605, 6606, 6665, 6725, 6760, 6887, 6890, 6918, 7017, 7027, 7124, 7300, 7379, 7381, 7382, 7622, 7650, 7721, 7835, 7851, 7900, 7913, 7961, 7962, 7963, 8302, 8356, 8358, 8361, 8556, 8616, 8647, 8662, 8678, 8681, 8729, 8738, 8775, 8851, 8860, 8938, 9003, 9021, 9023, 9025, 9052, 9082, 9083, 9087, 9097, 9116, 9119, 9232, 9239, 9289, 9346, 9364, 9377, 9550, 9551, 9552, 9555, 9563, 9568, 9580, 9587, 9588, 9589, 9591, 9596, 9597, 9604, 9605, 9627, 9635, 9643, 9652, 9653, 9654, 9882, 9886, 9992, 10296, 10360, 10434, 10474, 10475, 10476, 10559, 10600, 10610, 10830, 10880, 10886, 10887, 10900, 10904, 10915, 10918, 10925, 11048, 11068, 11245, 11248, 11286, 11310, 11423, 11567, 11636, 11637, 11640, 11641, 11642, 11643, 11713, 11741, 11875, 11897, 11899, 12032, 12108, 12228, 12366, 12408, 12415, 12428, 12521, 12557, 12633, 12676, 12693, 12780, 12802, 12892, 12923, 12942, 12974, 12992, 13050, 13051, 13052, 13055, 13057, 13060, 13127, 13158, 13198, 13242, 13243, 13256, 13302, 13305, 13326, 13418, 13428, 13719, 13738, 13859, 13872, 13903, 13934, 13944, 13947, 13948, 14135, 14137, 14140, 14145, 14168, 14171, 14196, 14205, 14306, 14324, 14343, 14357, 14362, 14370, 14379, 14425, 14435, 14458, 14459, 14488, 14501, 14543, 14572, 14663, 14687, 14689]"
8,"[227, 229, 231, 232, 233, 234, 329, 332, 769, 977, 1465, 1469, 1495, 1677, 1688, 1689, 1719, 1859, 1885, 1930, 2019, 2062, 2065, 2196, 2199, 2214, 2222, 2424, 2466, 2485, 2487, 2507, 2510, 2540, 2550, 2629, 2824, 2825, 2947, 2948, 2949, 2950, 2951, 2952, 3040, 3041, 3051, 3147, 3254, 3295, 3410, 3560, 3562, 3607, 3675, 3743, 3745, 3847, 3859, 3860, 3861, 4162, 4174, 4175, 4321, 4322, 4594, 4596, 4760, 4810, 4860, 4863, 5069, 5345, 5346, 5372, 5385, 5528, 5579, 5659, 5673, 5764, 5852, 5930, 5931, 5971, 6010, 6014, 6267, 6377, 6383, 6388, 6394, 6542, 6595, 6619, 6825, 6826, 6827, 6869, 6885, 7042, 7124, 7304, 7436, 7437, 7439, 7569, 7618, 8189, 8330, 8376, 8407, 8462, 8647, 8648, 8747, 8802, 8822, 8849, 8946, 8947, 9069, 9165, 9338, 9439, 9446, 9452, 9454, 9455, 9586, 9749, 9750, 9751, 9753, 9754, 9762, 9763, 9764, 9766, 9770, 9771, 9776, 9782, 9865, 9879, 9966, 9967, 10019, 10062, 10063, 10205, 10421, 10422, 10487, 10488, 10505, 10677, 10955, 11047, 11117, 11121, 11132, 11135, 11255, 11265, 11277, 11280, 11302, 11320, 11376, 11463, 11517, 11611, 11618, 11623, 11624, 11722, 11762, 11764, 11765, 11766, 11769, 11773, 11913, 11914, 11915, 11916, 11924, 12017, 12050, 12062, 12316, 12346, 12556, 12737, 13275, 13322, 13447, 13623, 13706, 13723, 13771, 13890, 13918, 13999, 14060, 14091, 14140, 14150, 14173, 14286, 14318, 14320, 14322, 14334, 14466, 14467, 14482, 14483, 14503, 14565, 14579, 14594]"
9,"[229, 335, 715, 732, 975, 1366, 1465, 1688, 1918, 2125, 2173, 2176, 2198, 2392, 2466, 2770, 2984, 3147, 3262, 3410, 3525, 3526, 3527, 3628, 3629, 3676, 3739, 3847, 4032, 4172, 4427, 4597, 4633, 4669, 4806, 4862, 5124, 5215, 5541, 5553, 5653, 5663, 5690, 5692, 5694, 5887, 5921, 5989, 6039, 6131, 6524, 6530, 6595, 6610, 6641, 6725, 6834, 6886, 6901, 7294, 7393, 7394, 7395, 7448, 7466, 7787, 8150, 8188, 8377, 8547, 8835, 9021, 9130, 9311, 9457, 9458, 9459, 9517, 9577, 9765, 9767, 9768, 9771, 9772, 9773, 9814, 9819, 9865, 9869, 10279, 10280, 10498, 10554, 10625, 10626, 10901, 10956, 10959, 11043, 11044, 11050, 11107, 11128, 11195, 11196, 11261, 11264, 11268, 11322, 11375, 11500, 11675, 11680, 11767, 11772, 11956, 12014, 12015, 12047, 12051, 12052, 12237, 12349, 12366, 12462, 12481, 12502, 12550, 12682, 12737, 12813, 12878, 12886, 12921, 12926, 12931, 12961, 12985, 13101, 13257, 13416, 13467, 13515, 13622, 13682, 13691, 13732, 13810, 14043, 14044, 14156, 14165, 14320, 14322, 14367, 14390, 14391, 14476, 14681, 14682]"
